Text,StrTime,User,MessageType,Sentiment,Confidence,Positive_Prob,Negative_Prob
嗯嗯,2021-10-10 09:26:53,R,text,2,0.165016,0.624257,0.375743
好,2021-10-10 09:27:23,Matteo,text,2,0.998993,0.999547,0.000452987
明天还得做个采访可以吗,2021-10-13 14:45:32,Matteo,text,2,0.0912499,0.591062,0.408937
好的,2021-10-13 22:01:16,R,text,2,0.99834,0.999253,0.000746884
几点,2021-10-13 22:01:18,R,text,0,0.170233,0.373395,0.626605
看你吧,2021-10-13 22:01:50,Matteo,text,0,0.927485,0.0326316,0.967368
什么时候方便,2021-10-13 22:02:19,Matteo,text,2,0.988385,0.994773,0.00522682
我想想,2021-10-13 22:19:33,R,text,2,0.979902,0.990956,0.00904392
现在可以,2021-10-14 03:07:50,R,text,2,0.933208,0.969944,0.0300564
要不要给你换个采访对象,2021-10-14 03:07:58,R,text,0,0.986251,0.00618726,0.993813
我室友也在,2021-10-14 03:08:01,R,text,2,0.962593,0.983167,0.0168333
还没下课,2021-10-14 03:08:27,Matteo,text,0,0.951798,0.0216911,0.978309
哇哦,2021-10-14 03:08:34,R,text,2,0.912209,0.960494,0.0395058
洋文喔,2021-10-14 03:08:45,R,text,1,1.0,1.0,0.0
你是不是很困啊,2021-10-14 03:08:48,R,text,0,0.924322,0.0340552,0.965945
那你什么时候下课,2021-10-14 03:08:53,R,text,0,0.912824,0.0392293,0.960771
我刚睡醒,2021-10-14 03:09:02,Matteo,text,2,0.893129,0.951908,0.0480918
笑死,2021-10-14 03:09:08,R,text,0,0.984829,0.00682685,0.993173
正常应该是35吧,2021-10-14 03:09:26,Matteo,text,0,0.657341,0.154197,0.845803
ok,2021-10-14 03:09:29,R,text,2,0.975475,0.988964,0.0110364
讲了很多,2021-10-14 03:47:13,Matteo,text,2,0.600458,0.820206,0.179794
又好像什么都没有讲,2021-10-14 03:47:21,Matteo,text,0,0.991187,0.00396599,0.996034
笑死了,2021-10-14 03:51:21,R,text,0,0.993812,0.00278472,0.997215
所以等下是你还是你室友哇,2021-10-14 03:52:08,Matteo,text,2,0.750878,0.887895,0.112105
问题大概就这样,2021-10-14 03:54:18,Matteo,text,0,0.98185,0.00816775,0.991832
哦这次不用40岁了吗,2021-10-14 03:55:25,R,text,2,0.605532,0.82249,0.17751
这次要年轻的女大学生了,2021-10-14 03:55:44,Matteo,text,2,0.789977,0.90549,0.0945102
笑死,2021-10-14 03:56:45,R,text,0,0.984829,0.00682685,0.993173
可以,2021-10-14 03:57:02,R,text,2,0.982081,0.991936,0.00806369
我另一个室友在,2021-10-14 03:57:06,R,text,2,0.855477,0.934965,0.0650352
来吧,2021-10-14 03:57:17,R,text,0,0.618614,0.171624,0.828376
现在吗,2021-10-14 03:57:48,Matteo,text,0,0.880031,0.053986,0.946014
可以,2021-10-14 03:57:54,R,text,2,0.982081,0.991936,0.00806369
我午饭还没吃就可以吃晚饭了,2021-10-14 03:58:20,Matteo,text,2,0.678085,0.855138,0.144862
我室友在宿舍,2021-10-14 04:00:22,Matteo,text,2,0.948695,0.976913,0.023087
录清楚,2021-10-14 04:00:31,Matteo,text,2,0.744268,0.88492,0.11508
不清楚,2021-10-14 04:00:35,Matteo,text,0,0.948729,0.0230722,0.976928
好吧,2021-10-14 04:01:26,R,text,0,0.687963,0.140417,0.859583
可以直接对着问题发语音吗,2021-10-14 04:01:38,Matteo,text,0,0.936823,0.0284297,0.97157
[捂脸],2021-10-14 04:01:44,Matteo,text,2,0.252064,0.663429,0.336571
可以,2021-10-14 04:01:59,R,text,2,0.982081,0.991936,0.00806369
全部问题是吧,2021-10-14 04:02:11,R,text,0,0.996974,0.00136161,0.998638
我清楚的记得昨天一点多这个崽种还在和女朋友打电话,2021-10-14 04:02:27,Matteo,text,2,0.710747,0.869836,0.130164
我已经笑死了,2021-10-14 04:21:08,R,text,0,0.981041,0.00853176,0.991468
结束了,2021-10-14 04:21:25,R,text,2,0.860257,0.937116,0.0628843
麻烦了,2021-10-14 04:21:36,Matteo,text,0,0.959731,0.0181209,0.981879
不能干什么给您磕个头吧,2021-10-14 04:21:58,Matteo,text,0,0.99948,0.000234123,0.999766
砰砰砰,2021-10-14 04:22:02,Matteo,text,2,0.857607,0.935923,0.0640768
哈哈哈哈哈哈哈哈哈,2021-10-14 04:22:19,R,text,2,0.911407,0.960133,0.039867
okok,2021-10-14 04:22:49,R,text,2,0.989747,0.995386,0.0046138
我真的笑死了,2021-10-14 04:22:59,R,text,0,0.984403,0.0070185,0.992981
我当初就不该随大流搞srtp,2021-10-14 04:24:23,Matteo,text,0,0.999451,0.000246962,0.999753
听听讲座就能刷够学分了,2021-10-14 04:24:53,Matteo,text,2,0.774959,0.898732,0.101268
srtp啥,2021-10-14 04:25:52,R,text,0,0.823638,0.0793631,0.920637
毕业硬性要求的一种创新类学分吧,2021-10-14 04:26:28,Matteo,text,0,0.154087,0.380661,0.619339
噢 确实sb,2021-10-14 04:26:41,R,text,0,0.997152,0.00128159,0.998718
我们搞了一年大创 真的sb,2021-10-14 04:26:58,R,text,0,0.996902,0.00139397,0.998606
最sb的是我一个人自己搞,2021-10-14 04:28:11,Matteo,text,0,0.999677,0.000145574,0.999854
是个狠人,2021-10-14 04:28:34,R,text,0,0.81928,0.0813241,0.918676
