localId,TalkerId,Type,SubType,IsSender,CreateTime,Status,StrContent,StrTime,Remark,NickName,Sender
1275578,6,1,0,0,1626412889,,然后就剩二楼最右边的座位了,2021-07-16 01:21:29,Matteo,Matteo,wxid_bw1xnecir2p22
1275579,6,1,0,1,1626414937,,那就只能在现场看手机直播了,2021-07-16 01:55:37,R,R,a33386437
1275580,6,47,0,1,1626414944,,"<msg><emoji fromusername = ""a33386437"" tousername = ""wxid_bw1xnecir2p22"" type=""3"" idbuffer=""media:0_0"" md5=""b041918111daca86ce525d1d60aed45d"" len = ""7636"" productid="""" androidmd5=""b041918111daca86ce525d1d60aed45d"" androidlen=""7636"" s60v3md5 = ""b041918111daca86ce525d1d60aed45d"" s60v3len=""7636"" s60v5md5 = ""b041918111daca86ce525d1d60aed45d"" s60v5len=""7636"" cdnurl = ""http://vweixinf.tc.qq.com/110/20401/stodownload?m=b041918111daca86ce525d1d60aed45d&amp;filekey=3043020101042f302d02016e0402535a0420623034313931383131316461636138366365353235643164363061656434356402021dd4040d00000004627466730000000131&amp;hy=SZ&amp;storeid=323032303039323330393134303730303038616564623536303365333639323331353566303930303030303036653031303034666231&amp;ef=1&amp;bizid=1022"" designerid = """" thumburl = """" encrypturl = ""http://vweixinf.tc.qq.com/110/20402/stodownload?m=9e8c73d71f94dfbc0869122839ed7149&amp;filekey=3043020101042f302d02016e0402535a0420396538633733643731663934646662633038363931323238333965643731343902021de0040d00000004627466730000000131&amp;hy=SZ&amp;storeid=323032303039323330393134303730303039393662393536303365333639323331353566303930303030303036653032303034666232&amp;ef=2&amp;bizid=1022"" aeskey= ""1d3ce1931efa4ac99f45c6e65195ab02"" externurl = ""http://vweixinf.tc.qq.com/110/20403/stodownload?m=46cc38bee3c99dbb26a379f198f42bbd&amp;filekey=3043020101042f302d02016e0402535a0420343663633338626565336339396462623236613337396631393866343262626402021170040d00000004627466730000000131&amp;hy=SZ&amp;storeid=323032303039323330393134303730303061373266303536303365333639323331353566303930303030303036653033303034666233&amp;ef=3&amp;bizid=1022"" externmd5 = ""750daed190846e91b6b4cc1a0068465e"" width= ""160"" height= ""158"" tpurl= """" tpauthkey= """" attachedtext= """" attachedtextcolor= """" lensid= """" emojiattr= """" linkid= """" ></emoji> </msg>",2021-07-16 01:55:44,R,R,a33386437
1275581,6,1,0,0,1628577639,,终于遇到一个心理有数的老师了,2021-08-10 02:40:39,Matteo,Matteo,wxid_bw1xnecir2p22
1275582,6,1,0,0,1628577642,,里,2021-08-10 02:40:42,Matteo,Matteo,wxid_bw1xnecir2p22
1275583,6,1,0,0,1628577651,,小组作业两人一组,2021-08-10 02:40:51,Matteo,Matteo,wxid_bw1xnecir2p22
1275584,6,47,0,0,1628577657,,"<msg><emoji fromusername=""wxid_bw1xnecir2p22"" tousername=""a33386437"" type=""2"" idbuffer=""media:0_0"" md5=""c9191a26d01f15b59428348135a39db8"" len=""1007187"" productid="""" androidmd5=""c9191a26d01f15b59428348135a39db8"" androidlen=""1007187"" s60v3md5=""c9191a26d01f15b59428348135a39db8"" s60v3len=""1007187"" s60v5md5=""c9191a26d01f15b59428348135a39db8"" s60v5len=""1007187"" cdnurl=""http://vweixinf.tc.qq.com/110/20401/stodownload?m=c9191a26d01f15b59428348135a39db8&amp;filekey=30440201010430302e02016e040253480420633931393161323664303166313562353934323833343831333561333964623802030f5e53040d00000004627466730000000131&amp;hy=SH&amp;storeid=323032313035303531373536343230303039306635373766366139643935353766313731363430303030303036653031303034666231&amp;ef=1&amp;bizid=1022"" designerid="""" thumburl="""" encrypturl=""http://vweixinf.tc.qq.com/110/20402/stodownload?m=58b119448d86832f0fa7f2479bda044d&amp;filekey=30440201010430302e02016e040253480420353862313139343438643836383332663066613766323437396264613034346402030f5e60040d00000004627466730000000131&amp;hy=SH&amp;storeid=323032313035303531373536343230303064316164373766366139643935353766313731363430303030303036653032303034666232&amp;ef=2&amp;bizid=1022"" aeskey=""d124b97edb3645ff88327f9a14a711d9"" externurl=""http://vweixinf.tc.qq.com/110/20403/stodownload?m=97fe7afada6ccab1771b741a119bf9e2&amp;filekey=3043020101042f302d02016e040253480420393766653761666164613663636162313737316237343161313139626639653202025de0040d00000004627466730000000131&amp;hy=SH&amp;storeid=323032313035303531373536343330303030616335373766366139643935353766313731363430303030303036653033303034666233&amp;ef=3&amp;bizid=1022"" externmd5=""e4fec16f09d2965b4670bd12167a6f85"" width=""316"" height=""314"" tpurl="""" tpauthkey="""" attachedtext="""" attachedtextcolor="""" lensid="""" emojiattr="""" linkid=""""></emoji></msg>",2021-08-10 02:40:57,Matteo,Matteo,wxid_bw1xnecir2p22
1275585,6,1,0,1,1628578196,,自由吗,2021-08-10 02:49:56,R,R,a33386437
1275586,6,1,0,0,1628578216,,还不错,2021-08-10 02:50:16,Matteo,Matteo,wxid_bw1xnecir2p22
1275587,6,1,0,0,1628578222,,暂时感觉,2021-08-10 02:50:22,Matteo,Matteo,wxid_bw1xnecir2p22
